entry_time,exit_time,r_mult,risk_usd,fee_usd,notional,trade_type,entry_price,sl_price,tp_price,zone_lower,zone_upper,momentum,atr,asset,pnl_usd
2021-06-30 00:00:00,2021-06-30 04:00:00,-1.1,15.0,0.29354814962684544,4193.544994669221,1,83.118,82.82069306718185,83.50449901266359,83.973,85.189,38.09520023359172,0.10183965829152423,AUDJPY_merged,-16.793548149626844
2021-06-30 10:00:00,2021-07-01 04:00:00,-1.1,60.0,1.3438449022179944,19197.78431739992,-1,0.92376,0.9266470831697888,0.9194293752453169,0.8926,0.92385,64.54793138963744,0.0010429066954108109,USDCHF_merged,-67.343844902218
2021-06-30 21:00:00,2021-07-01 04:00:00,-1.1,60.0,1.760088574383275,25144.122491189646,-1,111.079,111.34406154678236,110.68140767982645,109.187,110.329,62.835791070573904,0.08590000257549431,USDJPY_merged,-67.76008857438327
2021-06-30 10:00:00,2021-07-01 04:00:00,-1.1,15.0,0.34754609540120535,4964.94422001722,-1,0.92376,0.9265508470641292,0.9195737294038063,0.8926,0.92385,64.54793138963744,0.0010429066954108109,USDCHF_merged,-16.847546095401206
2021-06-30 06:00:00,2021-07-01 11:00:00,-1.1,15.000000000000002,0.27472713178999036,3924.6733112855773,1,0.75021,0.7473427167620191,0.7539374682093751,0.76747,0.77753,36.15068614383857,0.0009738099037869773,AUDUSD_merged,-16.774727131789994
2021-06-30 14:00:00,2021-07-02 08:00:00,-1.1,60.0,1.3186337961693235,18837.625659561767,1,1.18529,1.1815147152966488,1.1909529270550268,1.18472,1.22664,30.83981359443029,0.001225683360561086,EURUSD_merged,-67.31863379616932
2021-07-02 07:00:00,2021-07-02 11:00:00,1.4,15.0,0.3231733555819976,4616.762222599967,1,0.74628,0.7438553137241503,0.7496745607861898,0.74761,0.77753,40.73930397733563,0.0009081022413749304,AUDUSD_merged,20.676826644418004
2021-06-30 07:00:00,2021-07-02 13:00:00,1.5,15.0,0.3601067782651535,5144.382546645051,-1,1.58433,1.5889495922998569,1.5774006115502146,1.56586,1.58506,63.2531836285416,0.0015913023785271642,EURAUD_merged,22.139893221734848
2021-07-02 07:00:00,2021-07-02 13:00:00,1.5,30.0,0.9233801991156853,13191.145701652647,-1,111.447,111.7004586514029,111.06681202289566,109.187,110.329,57.46154657841631,0.08416577305327748,USDJPY_merged,44.076619800884316
2021-07-01 08:00:00,2021-07-02 14:00:00,1.5,30.000000000000004,0.6724307726659466,9606.15389522781,-1,0.92491,0.9277984921377103,0.9205772617934347,0.8926,0.92385,50.28671300554673,0.0009747713759579329,USDCHF_merged,44.32756922733406
2021-06-30 16:00:00,2021-07-02 14:00:00,1.5,15.0,0.30702810424630633,4386.115774947234,-1,0.92525,0.9284142461604121,0.9205036307593818,0.8926,0.92385,61.756198884114866,0.0010172666686990048,USDCHF_merged,22.192971895753693
2021-07-02 13:00:00,2021-07-05 07:00:00,1.3,15.0,0.30181556069278076,4311.650867039725,1,1.70378,1.697852641596432,1.7114855659246386,1.70144,1.72582,39.51429967170714,0.002037922641536611,GBPCAD_merged,19.19818443930722
2021-06-30 09:00:00,2021-07-05 23:00:00,1.5,60.0,1.1386693508557104,16266.705012224436,-1,1.84534,1.8521465659220349,1.8351301511169478,1.8194,1.84494,57.7903657132606,0.0023939370711060282,GBPAUD_merged,88.86133064914429
2021-07-02 14:00:00,2021-07-06 09:00:00,1.0,15.0,0.314510299402237,4493.004277174815,1,1.46322,1.4583350057631814,1.4681049942368185,1.46549,1.48243,26.75301996354578,0.0016534505971105059,EURCAD_merged,14.685489700597763
2021-07-06 02:00:00,2021-07-06 09:00:00,-1.1,14.999999999999998,0.2218845958542304,3169.77994077472,-1,0.87308,0.8772115801868565,0.8677089457570866,0.85982,0.87213,69.68005184275746,0.0014272054785501114,NZDCAD_merged,-16.72188459585423
2021-07-06 09:00:00,2021-07-06 10:00:00,1.5,60.0,0.8266820081156119,11809.74297308017,1,1.67133,1.6628387229054362,1.6840669156418455,1.66844,1.71224,36.70024526610174,0.0029268238626030643,EURNZD_merged,89.17331799188439
2021-07-02 11:00:00,2021-07-06 10:00:00,1.5,15.0,0.32526397584913086,4646.6282264161555,1,1.46482,1.4600913453865134,1.47191298192023,1.46658,1.48243,23.331820785418525,0.0016629169041744256,EURCAD_merged,22.17473602415087
2021-07-06 09:00:00,2021-07-06 10:00:00,1.5,90.0,1.3106965688982237,18724.236698546054,1,1.95721,1.9478024656456794,1.9713213015314806,1.95853,1.99601,37.33233324176102,0.003200836123304596,GBPNZD_merged,133.68930343110176
2021-07-06 07:00:00,2021-07-06 10:00:00,1.5,59.99999999999999,1.0686591083860908,15266.558691229871,1,1.82817,1.820985001584934,1.8389474976225992,1.82603,1.85232,33.66728732832085,0.0024056152560556483,GBPAUD_merged,88.9313408916139
2021-07-06 04:00:00,2021-07-06 10:00:00,1.5,60.0,0.7905780079919571,11293.971542742245,1,1.67516,1.6662605973744824,1.6885091039382762,1.68451,1.71224,27.77662834965764,0.0030909909884661983,EURNZD_merged,89.20942199200805
2021-07-02 14:00:00,2021-07-06 10:00:00,1.5,15.000000000000002,0.3253554821402452,4647.93545914636,1,1.46322,1.4584978389044088,1.4703032416433868,1.46549,1.48243,27.99106692043481,0.0016534505971105059,EURCAD_merged,22.174644517859758
2021-07-06 10:00:00,2021-07-06 10:00:00,1.3,30.0,0.5279226721634959,7541.752459478513,1,1.56792,1.5616830411164075,1.5760280465486702,1.56586,1.58506,56.346286028071994,0.0027270558001650904,EURAUD_merged,38.4720773278365
2021-07-06 10:00:00,2021-07-06 10:00:00,1.4,90.0,1.3862870700099057,19804.101000141512,1,1.67449,1.6668802579572322,1.6851436388598753,1.68451,1.71224,54.080564617757176,0.003937765015274289,EURNZD_merged,124.61371292999009
2021-07-06 09:00:00,2021-07-06 10:00:00,1.4,90.0,1.4619307883864805,20884.725548378294,1,1.95721,1.9487756588547471,1.969018077603354,1.95853,1.99601,38.10171438041895,0.003200836123304596,GBPNZD_merged,124.5380692116135
2021-07-06 04:00:00,2021-07-06 10:00:00,1.5,60.0,0.7642254077255586,10917.505824650838,1,1.67516,1.6659537214218785,1.6889694178671824,1.68451,1.71224,29.9014425119129,0.0030909909884661983,EURNZD_merged,89.23577459227444
2021-07-06 04:00:00,2021-07-06 10:00:00,1.4,60.0,0.7861412369550946,11230.589099358496,-1,0.70859,0.7123756785270889,0.7032900500620756,0.69224,0.70948,65.81225531128598,0.0014420280453888916,NZDUSD_merged,83.21385876304491
2021-07-02 14:00:00,2021-07-06 10:00:00,1.4,60.0,1.4515859972410938,20736.942817729912,1,1.46322,1.4589863383280905,1.469147126340673,1.46549,1.48243,32.02285417105915,0.0016534505971105059,EURCAD_merged,82.5484140027589
2021-07-06 07:00:00,2021-07-06 10:00:00,1.5,90.0,1.5495557071598323,22136.51010228332,1,1.82817,1.8207372430188973,1.8393191354716543,1.82603,1.85232,35.914060234881326,0.0024056152560556483,GBPAUD_merged,133.45044429284016
2021-07-02 14:00:00,2021-07-06 10:00:00,1.5,30.0,0.629020598804474,8986.00855434963,1,1.46322,1.4583350057631814,1.4705474913552277,1.46549,1.48243,32.02285417105915,0.0016534505971105059,EURCAD_merged,44.37097940119553
2021-07-06 04:00:00,2021-07-06 10:00:00,1.0,30.0,0.34066120268054106,4866.5886097220155,-1,0.70859,0.7129580906081795,0.7042219093918206,0.69224,0.70948,67.35411100875477,0.0014420280453888916,NZDUSD_merged,29.65933879731946
2021-07-06 02:00:00,2021-07-06 10:00:00,-1.1,60.0,0.8579537706363577,12256.482437662255,-1,0.87308,0.8773540484691619,0.8688059515308381,0.85982,0.87213,74.84837035131406,0.0014272054785501114,NZDCAD_merged,-66.85795377063636
2021-07-02 14:00:00,2021-07-06 10:00:00,1.5,60.0,1.258041197608948,17972.01710869926,1,1.46322,1.4583350057631814,1.4705474913552277,1.46658,1.48243,27.99106692043481,0.0016534505971105059,EURCAD_merged,88.74195880239105
2021-07-06 07:00:00,2021-07-06 10:00:00,1.4,90.0,1.7879488928767295,25542.127041096137,1,1.82817,1.8217282772830443,1.8371884118037383,1.82603,1.85232,35.914060234881326,0.0024056152560556483,GBPAUD_merged,124.21205110712326
2021-07-06 14:00:00,2021-07-07 10:00:00,-1.1,60.00000000000001,1.3690185092751197,19557.407275358855,1,1.1823,1.1786728320936806,1.1870153182782153,1.19859,1.22664,38.12431176896123,0.0011978370143387383,EURUSD_merged,-67.36901850927514
2021-07-07 13:00:00,2021-07-08 02:00:00,-1.1,59.99999999999999,0.8182447588178248,11689.21084025464,-1,1.24826,1.2546672417739337,1.238649137339099,1.20064,1.24866,60.95680544614,0.0021081938824080923,USDCAD_merged,-66.81824475881783
2021-07-07 13:00:00,2021-07-08 02:00:00,-1.1,89.99999999999999,1.2273671382267373,17533.81626038196,-1,1.24826,1.2546672417739337,1.238649137339099,1.20064,1.24866,60.33821579790745,0.0021081938824080923,USDCAD_merged,-100.22736713822673
2021-07-07 13:00:00,2021-07-08 02:00:00,-1.1,90.00000000000001,1.2696901429931762,18138.430614188233,-1,1.24826,1.2544536670481359,1.2389694994277958,1.20064,1.24866,60.95680544614,0.0021081938824080923,USDCAD_merged,-100.2696901429932
2021-07-08 05:00:00,2021-07-09 06:00:00,1.0,30.0,0.4970888973594031,7101.269962277188,1,129.868,129.31936010591116,130.41663989408883,130.037,134.123,36.31739669459397,0.1906742529322593,EURJPY_merged,29.502911102640596
2021-07-08 23:00:00,2021-07-09 07:00:00,1.3,90.0,0.9701790386509042,13859.700552155775,1,81.525,80.99560544545037,82.21321292091454,82.133,85.189,37.92402001628304,0.1775820002252563,AUDJPY_merged,116.0298209613491
2021-07-08 05:00:00,2021-07-09 07:00:00,1.3,15.0,0.25711494691003606,3673.070670143373,1,129.868,129.3376481023808,130.55745746690496,130.037,134.123,36.08980493624377,0.1906742529322593,EURJPY_merged,19.242885053089964
2021-07-08 05:00:00,2021-07-09 08:00:00,1.0,60.0,0.8207191095542173,11724.558707917391,1,151.431,150.65605740076475,152.20594259923527,151.309,155.482,28.865035381550282,0.2642203283347265,GBPJPY_merged,59.17928089044578
2021-07-08 05:00:00,2021-07-09 09:00:00,1.5,90.0,1.231078664331326,17586.838061876086,1,151.431,150.65605740076475,152.5934138988529,151.309,155.482,32.54270400844013,0.2642203283347265,GBPJPY_merged,133.76892133566867
2021-07-08 14:00:00,2021-07-09 09:00:00,1.3,30.0,0.3613442749497389,5162.061070710556,1,151.332,150.45251408578645,152.4753316884776,151.309,156.073,37.844282493765974,0.296465933122562,GBPJPY_merged,38.63865572505026
2021-07-08 05:00:00,2021-07-09 09:00:00,1.5,15.0,0.25711494691003606,3673.070670143373,1,129.868,129.3376481023808,130.66352784642882,130.037,134.123,36.070327803454724,0.1906742529322593,EURJPY_merged,22.242885053089964
2021-07-08 05:00:00,2021-07-09 09:00:00,1.5,60.0,0.9941777947188062,14202.539924554376,1,129.868,129.31936010591116,130.69095984113326,130.037,134.123,36.31739669459397,0.1906742529322593,EURJPY_merged,89.00582220528119
2021-07-08 05:00:00,2021-07-09 09:00:00,1.5,90.0,1.231078664331326,17586.838061876086,1,151.431,150.65605740076475,152.5934138988529,151.309,156.073,28.865035381550282,0.2642203283347265,GBPJPY_merged,133.76892133566867
2021-07-08 06:00:00,2021-07-09 10:00:00,1.4,90.0,1.6527565234335766,23610.807477622522,1,130.057,129.5612469423761,130.7510542806734,130.037,134.123,35.48219268528863,0.19734037772281166,EURJPY_merged,124.3472434765664
