Asset,total_pnl,folds_active,folds_capped
AUDUSD_merged,2724.09,24,5
CADCHF_merged,2197.59,25,1
CADJPY_merged,2130.67,27,6
USDCHF_merged,2013.57,23,3
AUDCHF_merged,1475.88,24,3
AUDCAD_merged,1422.59,19,3
GBPUSD_merged,1380.06,25,4
USDJPY_merged,1058.64,29,7
GBPAUD_merged,973.82,22,6
GBPCHF_merged,926.7,22,2
USDCAD_merged,909.06,22,6
NZDJPY_merged,831.66,19,3
AUDJPY_merged,795.29,20,5
GBPCAD_merged,739.6,22,2
CHFJPY_merged,710.66,22,4
EURNZD_merged,668.58,22,2
GBPNZD_merged,640.15,21,4
NZDCHF_merged,569.04,21,3
EURAUD_merged,318.97,25,4
EURCAD_merged,295.63,22,4
NZDUSD_merged,96.89,20,4
GBPJPY_merged,-84.03,24,7
EURUSD_merged,-140.07,23,6
EURGBP_merged,-354.02,21,3
AUDNZD_merged,-376.7,20,3
EURCHF_merged,-473.71,20,6
EURJPY_merged,-633.5,22,4
NZDCAD_merged,-1099.67,18,4
