Fold,Net_Profit_USD,Circuit_Breakers_Hit,Cut_Short,Stop_Reason
1,1727.63,9,True,dead_seed
2,394.95,7,True,dead_seed
3,385.17,4,False,
4,16.21,0,False,
5,-382.13,7,True,dead_seed
6,1089.97,9,True,dead_seed
7,-896.62,7,True,fold_brake
8,1936.47,2,True,dead_seed
9,-885.73,5,True,fold_brake
10,-1101.5,5,True,fold_brake
11,211.24,4,False,
12,-763.25,2,False,
13,-533.17,2,True,dead_seed
14,1943.45,5,False,
15,-540.17,0,False,
16,-320.98,8,True,dead_seed
17,310.87,8,True,dead_seed
18,2014.53,5,False,
19,-540.58,6,False,
20,-770.85,6,False,
21,4857.77,10,True,dead_seed
22,-151.95,9,True,dead_seed
23,-766.16,10,True,dead_seed
24,-1134.98,9,True,fold_brake
25,-1114.7,5,True,fold_brake
26,-898.46,3,True,fold_brake
27,-55.76,0,False,
28,-359.42,4,False,
29,960.69,0,False,
30,65.25,4,False,
31,-58.92,0,False,
32,92.54,0,False,
33,832.9,0,False,
34,706.78,9,True,dead_seed
35,2271.48,8,True,dead_seed
36,-1244.13,9,True,fold_brake
37,-64.9,0,False,
38,-4.28,0,False,
